"REF_DATE","GEO","DGUID","Measure","Sex at birth","Age group","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877162","1.2.1.1.3","3.2","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 1 to 19","Percent","Percent","239","units","0","v1277877163","1.2.1.2.1","3.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877164","1.2.1.2.2","2.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877165","1.2.1.2.3","4.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 20 to 59","Percent","Percent","239","units","0","v1277877166","1.2.1.3.1","2.9","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877167","1.2.1.3.2","1.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877168","1.2.1.3.3","3.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 60 and over","Percent","Percent","239","units","0","v1277877169","1.2.1.4.1","1.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877170","1.2.1.4.2","0.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877171","1.2.1.4.3","1.9","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 1 and over","Percent","Percent","239","units","0","v1277877172","1.2.2.1.1","2.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877173","1.2.2.1.2","1.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877174","1.2.2.1.3","3.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 1 to 19","Percent","Percent","239","units","0","v1277877175","1.2.2.2.1","3.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877176","1.2.2.2.2","2.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877177","1.2.2.2.3","6.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 20 to 59","Percent","Percent","239","units","0","v1277877178","1.2.2.3.1","3.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877179","1.2.2.3.2","1.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877180","1.2.2.3.3","4.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 60 and over","Percent","Percent","239","units","0","v1277877181","1.2.2.4.1","1.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877182","1.2.2.4.2","0.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Males","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877183","1.2.2.4.3","2.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 1 and over","Percent","Percent","239","units","0","v1277877184","1.2.3.1.1","2.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877185","1.2.3.1.2","1.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877186","1.2.3.1.3","3.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 1 to 19","Percent","Percent","239","units","0","v1277877187","1.2.3.2.1","2.9","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877188","1.2.3.2.2","1.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877189","1.2.3.2.3","4.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 20 to 59","Percent","Percent","239","units","0","v1277877190","1.2.3.3.1","2.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877191","1.2.3.3.2","1.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877192","1.2.3.3.3","3.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 60 and over","Percent","Percent","239","units","0","v1277877193","1.2.3.4.1","1.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877194","1.2.3.4.2","0.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Females","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877195","1.2.3.4.3","1.9","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 1 and over","Percent","Percent","239","units","0","v1277877196","1.3.1.1.1","1.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877197","1.3.1.1.2","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877198","1.3.1.1.3","1.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 1 to 19","Percent","Percent","239","units","0","v1277877199","1.3.1.2.1","","x","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877200","1.3.1.2.2","","x","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877201","1.3.1.2.3","","x","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 20 to 59","Percent","Percent","239","units","0","v1277877202","1.3.1.3.1","1.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877203","1.3.1.3.2","0.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877204","1.3.1.3.3","2.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 60 and over","Percent","Percent","239","units","0","v1277877205","1.3.1.4.1","0.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877206","1.3.1.4.2","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Both sexes","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877207","1.3.1.4.3","1.2","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 1 and over","Percent","Percent","239","units","0","v1277877208","1.3.2.1.1","0.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877209","1.3.2.1.2","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877210","1.3.2.1.3","0.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 1 to 19","Percent","Percent","239","units","0","v1277877211","1.3.2.2.1","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877212","1.3.2.2.2","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877213","1.3.2.2.3","0.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 20 to 59","Percent","Percent","239","units","0","v1277877214","1.3.2.3.1","0.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877215","1.3.2.3.2","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877216","1.3.2.3.3","1.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 60 and over","Percent","Percent","239","units","0","v1277877217","1.3.2.4.1","0.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877218","1.3.2.4.2","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Males","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877219","1.3.2.4.3","0.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 1 and over","Percent","Percent","239","units","0","v1277877220","1.3.3.1.1","1.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877221","1.3.3.1.2","0.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877222","1.3.3.1.3","2.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 1 to 19","Percent","Percent","239","units","0","v1277877223","1.3.3.2.1","","x","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877224","1.3.3.2.2","","x","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877225","1.3.3.2.3","","x","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 20 to 59","Percent","Percent","239","units","0","v1277877226","1.3.3.3.1","2.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877227","1.3.3.3.2","1.2","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877228","1.3.3.3.3","3.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 60 and over","Percent","Percent","239","units","0","v1277877229","1.3.3.4.1","0.9","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877230","1.3.3.4.2","0.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Vaccination","Females","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877231","1.3.3.4.3","2.1","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 1 and over","Percent","Percent","239","units","0","v1277877232","2.1.1.1.1","1.3","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877233","2.1.1.1.2","0.3","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877234","2.1.1.1.3","1.8","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 1 to 19","Percent","Percent","239","units","0","v1277877235","2.1.1.2.1","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877236","2.1.1.2.2","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877237","2.1.1.2.3","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 20 to 59","Percent","Percent","239","units","0","v1277877238","2.1.1.3.1","2.0","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877239","2.1.1.3.2","0.9","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877240","2.1.1.3.3","2.7","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 60 and over","Percent","Percent","239","units","0","v1277877241","2.1.1.4.1","0.9","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877242","2.1.1.4.2","0.0","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Both sexes","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877243","2.1.1.4.3","1.8","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 1 and over","Percent","Percent","239","units","0","v1277877244","2.1.2.1.1","1.7","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877245","2.1.2.1.2","0.6","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877246","2.1.2.1.3","2.6","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 1 to 19","Percent","Percent","239","units","0","v1277877247","2.1.2.2.1","0.0","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877248","2.1.2.2.2","0.0","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877249","2.1.2.2.3","1.5","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 20 to 59","Percent","Percent","239","units","0","v1277877250","2.1.2.3.1","2.7","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877251","2.1.2.3.2","1.3","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877252","2.1.2.3.3","4.3","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 60 and over","Percent","Percent","239","units","0","v1277877253","2.1.2.4.1","1.4","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877254","2.1.2.4.2","0.2","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Males","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877255","2.1.2.4.3","3.2","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 1 and over","Percent","Percent","239","units","0","v1277877256","2.1.3.1.1","1.1","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877257","2.1.3.1.2","0.0","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877258","2.1.3.1.3","1.6","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 1 to 19","Percent","Percent","239","units","0","v1277877259","2.1.3.2.1","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877260","2.1.3.2.2","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877261","2.1.3.2.3","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 20 to 59","Percent","Percent","239","units","0","v1277877262","2.1.3.3.1","1.5","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877263","2.1.3.3.2","0.4","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877264","2.1.3.3.3","2.5","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 60 and over","Percent","Percent","239","units","0","v1277877265","2.1.3.4.1","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877266","2.1.3.4.2","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Overall","Females","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877267","2.1.3.4.3","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Infection","Both sexes","Ages 1 and over","Percent","Percent","239","units","0","v1277877268","2.2.1.1.1","0.5","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Infection","Both sexes","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877269","2.2.1.1.2","0.0","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Infection","Both sexes","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877270","2.2.1.1.3","0.7","","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Infection","Both sexes","Ages 1 to 19","Percent","Percent","239","units","0","v1277877271","2.2.1.2.1","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Infection","Both sexes","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877272","2.2.1.2.2","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Infection","Both sexes","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877273","2.2.1.2.3","","x","","","1"
"2021","Atlantic Region","2016A00011","Antibody seroprevalence - Infection","Both sexes","Ages 20 to 59","Percent","Percent","239","units","0","v1277877274","2.2.1.3.1","","x","","","1"
